Name;Age;Class;
BOCHET, Mr Pierre Giuseppe ;43 ;Restaurant Staff ;
BOGIE, Mr Norman Leslie ;59 ;Victualling Crew ;
BOLHUIS, Mr Hendrik ;27 ;Restaurant Staff ;
BOND, Mr William John ;45 ;Victualling Crew ;
BOOTHBY, Mr Walter Thomas ;37 ;Victualling Crew ;
BOREBANK, Mr John James ;41 ;1st Class Passenger ;
J. Borebank
BOSTANDYEFF, Mr Guentcho ;26 ;3rd Class Passenger ;
BOSTON, Mr William John ;33 ;Victualling Crew ;
BOTSFORD, Mr William Hull ;25 ;2nd Class Passenger ;
W. Botsford
BOTT, Mr William Thomas ;46 ;Engineering Crew ;
W. Bott
BOUGHTON, Mr Bernard John ;24 ;Victualling Crew ;
BOURKE, Miss Mary ;40 ;3rd Class Passenger ;
BOURKE, Mrs Catherine ;32 ;3rd Class Passenger ;
BOURKE, Mr John ;42 ;3rd Class Passenger ;
BOWEN, Mr David John 'Dai' ;20 ;3rd Class Passenger ;
D. Bowen
BOYD, Mr John ;37 ;Victualling Crew ;
BOYES, Mr John Henry ;36 ;Victualling Crew ;
BRACKEN, Mr James Hollen ;30 ;2nd Class Passenger ;
J. Bracken
BRADLEY, Mr Thomas Henry ;28 ;Deck Crew ;
BRADLEY, Mr Patrick Joseph ;38 ;Engineering Crew ;
P. Bradley
BRADSHAW, Mr John Albert Perkin ;42 ;Victualling Crew ;
BRADY, Mr John Bertram ;41 ;1st Class Passenger ;
J. Brady
BRAF, Miss Elin Ester Maria ;20 ;3rd Class Passenger ;
E. Braf
BRAILEY, Mr William Theodore Ronald ;24 ;2nd Class Passenger
Musician ;
W. Brailey
BRANDEIS, Mr Emil Franklin ;48 ;1st Class Passenger ;
E. Brandeis
BRAUND, Mr Owen Harris ;23 ;3rd Class Passenger ;
O. Braund
BRAUND, Mr Lewis Richard ;29 ;3rd Class Passenger ;
L. Braund
BREWE, Dr Arthur Jackson ;45 ;1st Class Passenger ;
A. Brewe
BREWER, Mr Harry ;30 ;Engineering Crew ;
BREWSTER, Mr George Henry ;52 ;Victualling Crew ;
BRIANT, Mr Arthur ;30 ;Engineering Crew ;
BRIANT, Mr Albert ;34 ;Engineering Crew ;
A. Briant
BRICOUX, Mr Roger Marie ;20 ;2nd Class Passenger
Musician ;
R. Bricoux
BRISTOW, Mr Harry ;38 ;Victualling Crew ;
H. Bristow
BRISTOW, Mr Robert Charles ;38 ;Victualling Crew ;
R. Bristow
BRITO, Mr José Joaquim de ;32 ;2nd Class Passenger ;
BROBäCK, Mr Karl Rudolf ;22 ;3rd Class Passenger ;
BROCKLEBANK, Mr William Alfred ;40 ;3rd Class Passenger ;
BROOKMAN, Mr John Cress ;28 ;Victualling Crew ;
BROOKS, Mr J. ;25 ;Engineering Crew ;
BROOM, Mr Herbert George ;33 ;Victualling Crew ;
BROOME, Mr Athol Frederick ;31 ;Victualling Crew ;
BROWN, Mr Joseph ;30 ;Engineering Crew
Substitute Crew ;
BROWN, Mr John ;28 ;Engineering Crew ;
BROWN, Mr Walter James ;41 ;Victualling Crew ;
BROWN, Mr Thomas William Solomon ;60 ;2nd Class Passenger ;
BRYHL, Mr Kurt Arnold Gottfrid ;25 ;2nd Class Passenger ;
BUCKLEY, Miss Catherine ;22 ;3rd Class Passenger ;
BUCKLEY, Mr H. E. ;34 ;Victualling Crew ;
BULL, Mr Walter Edward ;37 ;Victualling Crew ;
BULLEY, Mr Henry Ashburnham ;22 ;Victualling Crew ;
BūLUS, Mrs Sultānah ;40 ;3rd Class Passenger ;
BūLUS, Master Akar ;7 ;3rd Class Passenger ;
BūLUS, Miss Nūr al-'ayn ;10 ;3rd Class Passenger ;
BUNNELL, Mr Wilfred James ;21 ;Victualling Crew ;
W. Bunnell
BURKE, Mr Jeremiah ;19 ;3rd Class Passenger ;
BURKE, Mr Richard Edward ;29 ;Victualling Crew ;
BURNS, Miss Mary Delia ;17 ;3rd Class Passenger ;
BURR, Mr Ewart Sydenham ;29 ;Victualling Crew ;
BURROUGHS, Mr Arthur Peckham ;35 ;Engineering Crew ;
BURTON, Mr Edward John ;35 ;Engineering Crew ;
BUTLER, Mr Reginald Fenton ;26 ;2nd Class Passenger ;
BUTRUS-KA'Wī, Mr Tannūs ;21 ;3rd Class Passenger ;
BUTT, Major Archibald Willingham ;46 ;1st Class Passenger ;
A. Butt
BUTT, Mr Robert Henry ;22 ;Victualling Crew ;
R. Butt
BUTT, Mr William John ;31 ;Engineering Crew ;
BUTTERWORTH, Mr John ;23 ;Victualling Crew ;
BYLES, Fr Thomas Roussel Davids ;42 ;2nd Class Passenger ;
T. Byles
BYRNE, Mr James Edward ;45 ;Victualling Crew ;
CACIC, Miss Manda ;21 ;3rd Class Passenger ;
CACIC, Miss Marija ;30 ;3rd Class Passenger ;
CACIC, Mr Luka ;38 ;3rd Class Passenger ;
CACIC, Mr Jego Grga ;18 ;3rd Class Passenger ;
CAIRNS, Mr Alexander Milne ;28 ;1st Class Passenger
Servant ;
CALDERWOOD, Mr Hugh ;30 ;Engineering Crew ;
CALIC, Mr Jovo ;17 ;3rd Class Passenger ;
CALIC, Mr Petar ;17 ;3rd Class Passenger ;
CAMPBELL, Mr Donald Samuel ;28 ;Victualling Crew ;
CAMPBELL, Mr William ;21 ;2nd Class Passenger
H&W Guarantee Group ;
CANAVAN, Mr Patrick ;21 ;3rd Class Passenger ;
CANAVAN, Miss Mary ;22 ;3rd Class Passenger ;
CANN, Mr Ernest ;29 ;3rd Class Passenger ;
CANNER, Mr John ;40 ;Engineering Crew ;
CARAM, Mrs Maria Elias ;18 ;3rd Class Passenger ;
CARAM, Mr Joseph ;28 ;3rd Class Passenger ;
CARBINES, Mr William ;19 ;2nd Class Passenger ;
W. Carbines
CARLSSON, Mr August Sigfrid ;28 ;3rd Class Passenger ;
CARLSSON, Mr Carl Robert ;24 ;3rd Class Passenger ;
CARLSSON, Mr Frans Olof ;33 ;1st Class Passenger ;
CARNEY, Mr William ;31 ;Victualling Crew ;
CARR, Mr Richard Stephen ;27 ;Engineering Crew ;
CARR, Miss Jane ;45 ;3rd Class Passenger ;
CARRAU, Mr Francisco Mauro Severiano ;27 ;1st Class Passenger ;
CARRAú-ESTEVES, Mr José Pedro ;17 ;1st Class Passenger ;
CARTER, Fr Ernest Courtenay ;54 ;2nd Class Passenger ;
CARTER, Mr James ;46 ;Engineering Crew ;
CARTER, Mrs Lilian ;45 ;2nd Class Passenger ;
CARTWRIGHT, Mr James Edward ;33 ;Victualling Crew ;
CARVER, Mr Alfred John ;28 ;3rd Class Passenger ;
CASALI, Sig. Giulio ;32 ;Restaurant Staff ;
CASE, Mr Howard Brown ;49 ;1st Class Passenger ;
H. Case
CASEY, Mr Thomas ;44 ;Engineering Crew ;
CASSWILL, Mr Charles ;34 ;Victualling Crew ;
C. Casswill
CASTLEMAN, Mr Edward ;37 ;Engineering Crew ;
CAUNT, Mr William Ewart ;28 ;Victualling Crew ;
CAVE, Mr Herbert ;39 ;Victualling Crew ;
CAVENDISH, Mr Tyrell William ;36 ;1st Class Passenger ;
T. Cavendish
CECIL, Mr Charles Thomas ;21 ;Victualling Crew ;
CELOTTI, Mr Francesco ;24 ;3rd Class Passenger ;
CHABOISSON, Mr Adrien Firmin ;25 ;Restaurant Staff ;
A. Chaboisson
CHAFFEE, Mr Herbert Fuller ;46 ;1st Class Passenger ;
H. Chaffee
CHAPMAN, Mrs Sarah Elizabeth ;30 ;2nd Class Passenger ;
CHAPMAN, Mr John Henry ;37 ;2nd Class Passenger ;
CHAPMAN, Mr Charles Henry ;52 ;2nd Class Passenger ;
C. Chapman
CHARMAN, Mr John James ;25 ;Victualling Crew ;
J. Charman
CHARTERS, Mr David ;20 ;3rd Class Passenger ;
D. Charters
CHERRETT, Mr William Victor ;24 ;Engineering Crew ;
W. Cherrett
CHEVERTON, Mr William Frederick ;27 ;Victualling Crew ;
W. Cheverton
CHISHOLM, Mr Roderick Robert Crispin ;43 ;1st Class Passenger
H&W Guarantee Group ;
R. Chisholm
CHISNALL, Mr George Alexander ;37 ;Engineering Crew ;
G. Chisnall
CHITTY, Mr George Henry ;50 ;Victualling Crew ;
CHITTY, Mr Archibald George ;29 ;Victualling Crew ;
CHORLEY, Mr John Henry ;25 ;Engineering Crew ;
J. Chorley
CHRISTMANN, Mr Emil ;29 ;3rd Class Passenger ;
CHRISTMAS, Mr Herbert Harry ;34 ;Victualling Crew ;
CHRONOPOULOS, Mr Dimitrios M. ;21 ;3rd Class Passenger ;
CHRONOPOULOS, Mr Apostolos M. ;26 ;3rd Class Passenger ;
CLARK, Mr Walter Miller ;27 ;1st Class Passenger ;
CLARKE, Mr John Frederick Preston ;28 ;2nd Class Passenger
Musician ;
J. Clarke
CLARKE, Mr Charles Valentine ;29 ;2nd Class Passenger ;
C. Clarke
CLENCH, Mr George James ;31 ;Deck Crew ;
CLIFFORD, Mr George Quincy ;40 ;1st Class Passenger ;
G. Clifford
COE, Mr Harry ;21 ;Engineering Crew ;
COELHO, Mr Domingos Fernandeo ;20 ;3rd Class Passenger ;
COLBERT, Mr Patrick ;24 ;3rd Class Passenger ;
COLEFF, Mr Satio ;24 ;3rd Class Passenger ;
COLEMAN, Mr Albert Edward ;28 ;Victualling Crew ;
COLEMAN, Mr John ;57 ;Engineering Crew ;
COLERIDGE, Mr Reginald Charles ;29 ;2nd Class Passenger ;
COLLANDER, Mr Erik Gustaf ;27 ;2nd Class Passenger ;
COLLEY, Mr Edward Pomeroy ;37 ;1st Class Passenger ;
COLLYER, Mr Harvey ;31 ;2nd Class Passenger ;
H. Collyer
COLTCHEFF, Mr Peju ;36 ;3rd Class Passenger ;
COMPTON, Mr Alexander Taylor jr ;37 ;1st Class Passenger ;
CONLIN, Mr Thomas Henry ;31 ;3rd Class Passenger ;
CONNAUGHTON, Mr Michael ;40 ;3rd Class Passenger ;
CONNOLLY, Miss Kate ;41 ;3rd Class Passenger ;
CONNORS, Mr Patrick ;66 ;3rd Class Passenger ;
CONWAY, Mr Percy Walter ;25 ;Victualling Crew ;
COOK, Mr Jacob ;43 ;3rd Class Passenger ;
COOK, Mr Gilbert William ;32 ;Victualling Crew ;
COOMBS, Mr Charles Augustus ;45 ;Victualling Crew ;
COOPER, Mr Harry ;26 ;Engineering Crew ;
COOPER, Mr James Edward ;26 ;Engineering Crew ;
COPPERTHWAITE, Mr Albert Harry ;28 ;Engineering Crew ;
A. Copperthwaite
COR, Mr Ivan ;27 ;3rd Class Passenger ;
COR, Mr Bartol ;35 ;3rd Class Passenger ;
COR, Mr Liudevit ;19 ;3rd Class Passenger ;
CORBEN, Mr Ernest Theodore ;27 ;Victualling Crew ;
CORBETT, Mrs Irene ;30 ;2nd Class Passenger ;
I. Corbett
CORCORAN, Mr Dennis ;33 ;Engineering Crew ;
COREY, Mrs Mary Emma ;32 ;2nd Class Passenger ;
CORNAIRE, Mr Marcel Raymond André ;19 ;Restaurant Staff ;
CORNBLATT, Mr Harris ;30 ;3rd Class Passenger ;
COTTERILL, Mr Henry ;21 ;2nd Class Passenger ;
COTTON, Mr Alfred ;36 ;Engineering Crew
Substitute Crew ;
COUCH, Mr Joseph Henry ;49 ;Engineering Crew ;
COUCH, Mr Frank ;27 ;Deck Crew ;
COUTIN, Mr Auguste Louis ;28 ;Restaurant Staff ;
COX, Mr William Denton ;30 ;Victualling Crew ;
COXON, Mr Daniel ;58 ;3rd Class Passenger ;
COY, Mr Francis Ernest George ;27 ;Engineering Crew ;
F. Coy
CRABB, Mr Henry James ;23 ;Engineering Crew ;
CRAFTON, Mr John Bertram ;59 ;1st Class Passenger ;
J. Crafton
CREASE, Mr Ernest James ;20 ;3rd Class Passenger ;
E. Crease
CREESE, Mr Henry Philip ;45 ;Engineering Crew ;
H. Creese
CRIBB, Mr John Hatfield ;43 ;3rd Class Passenger ;
CRISP, Mr Albert Hector ;39 ;Victualling Crew ;
CRISPIN, Mr William ;33 ;Victualling Crew ;
CROSBIE, Mr John Borthwick ;45 ;Victualling Crew ;
CROSBY, Captain Edward Gifford ;70 ;1st Class Passenger ;
E. Crosby
CROSS, Mr William Alfred ;44 ;Engineering Crew ;
CROVELLA, Sig. Paolo Luigi ;16 ;Restaurant Staff ;
P. Crovella
CRUMPLIN, Mr Charles George Chandler ;35 ;Victualling Crew ;
CULUMOVIC, Mr Jeso ;17 ;3rd Class Passenger ;
CUMINGS, Mr John Bradley ;39 ;1st Class Passenger ;
J. Cumings
CUNNINGHAM, Mr Alfred Fleming ;22 ;2nd Class Passenger
H&W Guarantee Group ;
CUNNINGHAM, Mr Bernard ;35 ;Engineering Crew ;
B. Cunningham
CURTIS, Mr Arthur ;26 ;Engineering Crew ;
DāHIR, Mr Ṭannūs ;28 ;3rd Class Passenger ;
DAHLBERG, Miss Gerda Ulrika ;22 ;3rd Class Passenger ;
DAKIC, Mr Branko ;19 ;3rd Class Passenger ;
DANBOM, Master Gilbert Sigvard Emanuel ;4 m ;3rd Class Passenger ;
DANBOM, Mrs Anna Sigrid Maria ;28 ;3rd Class Passenger ;
DANBOM, Mr Ernst Gilbert ;34 ;3rd Class Passenger ;
DANOFF, Mr Yoto ;27 ;3rd Class Passenger ;
DASHWOOD, Mr William George ;18 ;Victualling Crew ;
DAVIDSON, Mr Thornton ;31 ;1st Class Passenger ;
T. Davidson
DAVIES, Mr Thomas ;33 ;Engineering Crew ;
DAVIES, Mr Joseph ;17 ;3rd Class Passenger ;
DAVIES, Mr John ;22 ;3rd Class Passenger ;
DAVIES, Mr Robert J. ;26 ;Victualling Crew ;
DAVIES, Mr Alfred James ;24 ;3rd Class Passenger ;
DAVIES, Mr Evan Lewis ;22 ;3rd Class Passenger ;
DAVIES, Mr Gordon Raleigh ;32 ;Victualling Crew ;
DAVIES, Mr Charles Henry ;19 ;2nd Class Passenger ;
DAVIS, Mr Stephen James ;39 ;Deck Crew ;
DAVIS, Mr John ;27 ;Victualling Crew ;
DAVISON, Mr Thomas Henry ;32 ;3rd Class Passenger ;
DAWSON, Mr Joseph ;23 ;Engineering Crew ;
J. Dawson
DE MARSICO, Sig. Govanni ;20 ;Restaurant Staff ;
DE PELSMAEKER, Mr Alfons ;16 ;3rd Class Passenger ;
