Name;Age;Class;
HARPER, Mr Henry Sleeper ;48 ;1st Class Passenger ;
HARPER, Miss Annie Jessie ;6 ;2nd Class Passenger ;
A. Harper
HARRIS, Mrs Irene ;35 ;1st Class Passenger ;
I. Harris
HARRIS, Mr Frederick ;39 ;Engineering Crew ;
HARRIS, Mr George ;62 ;2nd Class Passenger ;
HARRISON, Mr Aragõa Drummond ;40 ;Victualling Crew ;
HART, Miss Eva Miriam ;7 ;2nd Class Passenger ;
HART, Mrs Emily Esther Louisa ;48 ;2nd Class Passenger ;
HART, Mr John Edward ;32 ;Victualling Crew ;
J. Hart
HARTNELL, Mr Fred ;21 ;Victualling Crew ;
F. Hartnell
HASSAB, Mr Hammad ;27 ;1st Class Passenger
Servant ;
HAWKSFORD, Mr Walter James ;45 ;1st Class Passenger ;
HAYS, Miss Margaret Bechstein ;24 ;1st Class Passenger ;
M. Hays
HAYS, Mrs Clara Jennings ;52 ;1st Class Passenger ;
C. Hays
HEALY, Miss Honor ;33 ;3rd Class Passenger ;
HEBB, Mr William Albert Thomas ;22 ;Engineering Crew ;
W. Hebb
HEDMAN, Mr Oskar Arvid ;27 ;3rd Class Passenger ;
O. Hedman
HEE, Mr Ling ;24 ;3rd Class Passenger ;
HEIKKINEN, Miss Laina Maria ;16 ;3rd Class Passenger ;
HELLSTRöM, Miss Hilda Maria ;22 ;3rd Class Passenger ;
H. Hellström
HEMMING, Mr Samuel Ernest ;43 ;Deck Crew ;
S. Hemming
HENDRICKSON, Mr Charles Osker ;28 ;Engineering Crew ;
C. Hendrickson
HERMAN, Miss Kate ;24 ;2nd Class Passenger ;
K. Herman
HERMAN, Miss Alice ;24 ;2nd Class Passenger ;
A. Herman
HERMAN, Mrs Jane ;50 ;2nd Class Passenger ;
J. Herman
HEWLETT, Mrs Mary Dunbar ;56 ;2nd Class Passenger ;
HICHENS, Mr Robert ;29 ;Deck Crew ;
R. Hichens
HIPPACH, Miss Gertrude Isabelle ;17 ;1st Class Passenger ;
G. Hippach
HIPPACH, Mrs Ida Sophia ;44 ;1st Class Passenger ;
I. Hippach
HIRVONEN, Miss Hildur Elisabeth ;2 ;3rd Class Passenger ;
HIRVONEN, Mrs Helga Elisabeth Lindqvist ;22 ;3rd Class Passenger ;
HOCKING, Miss Ellen ;20 ;2nd Class Passenger ;
E. Hocking
HOCKING, Mrs Eliza ;54 ;2nd Class Passenger ;
HOGEBOOM, Mrs Anna Louisa ;51 ;1st Class Passenger ;
HOGG, Mr George Alfred ;29 ;Deck Crew ;
G. Hogg
HOLD, Mrs Annie Margaret ;29 ;2nd Class Passenger ;
HOLVERSON, Mrs Mary Alice ;35 ;1st Class Passenger ;
M. Holverson
HOMER, Mr Harry ;40 ;1st Class Passenger ;
H. Homer
HONKANEN, Miss Eliina ;28 ;3rd Class Passenger ;
HOPKINS, Mr Robert John ;40 ;Deck Crew ;
HORSWILL, Mr Albert Edward James ;33 ;Deck Crew ;
A. Horswill
HOSONO, Mr Masabumi ;41 ;2nd Class Passenger ;
HOWARD, Miss May Elizabeth ;26 ;3rd Class Passenger ;
M. Howard
HOYT, Mrs Jane Anne ;31 ;1st Class Passenger ;
J. Hoyt
HOYT, Mr Frederick Maxfield ;38 ;1st Class Passenger ;
HUMPHREYS, Mr Sidney ;52 ;Deck Crew ;
HUNT, Mr Albert Sylvanus ;23 ;Engineering Crew ;
A. Hunt
HURST, Mr Walter ;23 ;Engineering Crew ;
W. Hurst
HYLAND, Mr James Leo ;19 ;Victualling Crew ;
J. Hyland
HYMAN, Mr Abraham Joseph ;34 ;3rd Class Passenger ;
A. Hyman
IBRāHīM, Mrs Sāfiyah ;18 ;3rd Class Passenger ;
ICARD, Miss Rose Amélie ;39 ;1st Class Passenger
Servant ;
R. Icard
ILETT, Miss Bertha ;17 ;2nd Class Passenger ;
B. Ilett
ISMAY, Mr Joseph Bruce ;49 ;1st Class Passenger ;
J. Ismay
JACOBSOHN, Mrs Amy Frances Christy ;24 ;2nd Class Passenger ;
JALšEVAC, Mr Ivan ;30 ;3rd Class Passenger ;
JANSSON, Mr Carl Olof ;21 ;3rd Class Passenger ;
JERMYN, Miss Annie Jane ;26 ;3rd Class Passenger ;
JERWAN, Mrs Marie Marthe ;23 ;2nd Class Passenger ;
M. Jerwan
